model,manufacturers,titles,categories,upcs,valid_gtins,lot_count,manifest_line_count,total_quantity,conditions,first_seen_at
LDPM6762S,LG,LG LDPM6762S Smart Top Control Dishwasher with QuadWash,Home -> Appliances -> Major Appliances -> Dishwashers,048231346238,048231346238,1,1,1,Used,2026-08-24T11:30:38Z
LF24Z6530S,LG,"LG Counter-Depth MAX 23.7 Cu. Ft. French Door Refrigerator with Dual Ice Makers, Craft Ice, PrintProof Stainless Steel, LF24Z6530S",Home -> Appliances -> Major Appliances -> Refrigerators,195174092453,195174092453,1,1,1,Used,2026-08-24T11:30:38Z
LF25Z6211S,LG,LG LF25Z6211S Counter-Depth MAX 25.1 Cu. Ft. French Door Smart Refrigerator with Zero Hinge System - Stainless Steel,Home -> Appliances -> Major Appliances -> Refrigerators,499994269331,499994269331,1,1,1,Used,2026-08-24T11:30:38Z
LRFXS3106S,LG ELECTRONICS APPLIANCE,"LG French Door Refrigerator, 36 Inch Standard-Depth MAX, 30.7 Cu. Ft. Capacity, Dual Ice Makers, Door Cooling+, PrintProof Stainless Steel, LRFXS3106S",Home -> Appliances -> Major Appliances -> Refrigerators,195174065792,195174065792,1,1,1,Used,2026-08-24T11:30:38Z
LSEL6337XE,LG,"Lg LSEL6337XE 6.3CF Smart Electric Slide-In Range,InstaView,New Handle,ESTAR,Air Fry",Home -> Appliances -> Major Appliances -> Ovens / Ranges,048231348928,048231348928,1,1,1,Used,2026-08-24T11:30:38Z
LSIL6334XE,LG,LG  LSIL6334XE 6.3 Cu. Ft. Slide-in Electric Induction True Convection Smart Range with WideView Window and Flex Control Knobs - Stainless Steel,Home -> Appliances -> Major Appliances -> Ovens / Ranges,048231349055,048231349055,1,1,1,Used,2026-08-24T11:30:38Z
LSIL6336XE,LG,"LG 30 in. 6.3 Cu. Ft. Smart Induction Slide-In Range, 5-Element Cooktop, ProBake Convection with Air Fry, InstaView Window, PrintProof Stainless Steel, LSIL6336XE",Home -> Appliances -> Major Appliances -> Ovens / Ranges,048231349048,048231349048,1,1,1,Used,2026-08-24T11:30:38Z
LT4-48,IsEasy,IsEasy LT4-48 30 inch Electric Cooktop 4 Burners,Home -> Appliances -> Major Appliances -> Ovens / Ranges,661858025883,661858025883,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
LT4-49 (61),IsEasy,IsEasy LT4-49 (61) 30''Built-in Electric Ceramic Cooktop Stove Top 4 Burner,Home -> Appliances -> Major Appliances -> Ovens / Ranges,661858025876,661858025876,1,1,2,Untested Customer Returns,2026-08-24T11:30:38Z
LT5-20,X kitchen,X kitchen LT5-20 36in-5 Burners Radiant Electric Cooktop in Black with Tri-Ring Element,Home -> Appliances -> Major Appliances -> Ovens / Ranges,661858025852,661858025852,1,1,3,Untested Customer Returns,2026-08-24T11:30:38Z
LT5-24,IsEasy,"IsEasy LT5-24 30"" Electric Ceramic 5 Burners Glass Cooktop Built-in Stove Touch Control",Home -> Appliances -> Major Appliances -> Ovens / Ranges,661858025272,661858025272,1,1,2,Untested Customer Returns,2026-08-24T11:30:38Z
MDB4949SKZ,Maytag,Maytag MDB4949SKZ 50-Decibel Stainless Steel Tub Built-In Dishwasher with Dual Power Filtration - Fingerprint Resistant Stainless Steel,Home -> Appliances -> Major Appliances -> Dishwashers,883049532905,883049532905,1,1,2,Used,2026-08-24T11:30:38Z
MGBS-765,IsEasy,Iseasy MGBS-765 65 cm Gas Hob 5 Burners,Home -> Appliances -> Major Appliances -> Ovens / Ranges,661858025869,661858025869,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
MICROWAVES,GE,"GE JVM3160RFSS 30"" Over-the-Range Microwave Oven in Stainless Steel",Home -> Kitchen & Dining,084691254980,084691254980,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
MIWF8200,Midea,"Midea MIWF8200 Twist-in Refrigerator Water Filter, 200 Gallon Capacity, NSF Certified, White",Home -> Appliances -> Accessories,840296504994,840296504994,1,1,1,Open Box Like New,2026-08-24T11:30:38Z
MRB172N6ASE,MORA,"MORA MRB172N6ASE 17 CF Counter-Depth Bottom-Mount Refrigerator, 31"" Wide",Home -> Appliances -> Major Appliances -> Refrigerators,810088361166,810088361166,1,1,1,Used,2026-08-24T11:30:38Z
MRF27I6BST,Midea,"Media MRF27I6BST 26 CF 36"" Counter Depth French Door Refrigerator, Internal Water Pitcher",Home -> Appliances -> Major Appliances -> Refrigerators,840296514917,840296514917,1,1,1,Used,2026-08-24T11:30:38Z
NE63A6511SS,Samsung,Samsung NE63A6511SS 6.3 cu. ft. Smart Wi-Fi Enabled Convection Electric Range with No Preheat AirFry in Stainless Steel,Home -> Appliances -> Major Appliances -> Ovens / Ranges,887276509426,887276509426,1,1,1,Used,2026-08-24T11:30:38Z
NN-SN686S,Panasonic,"Panasonic NN-SN686S Countertop/Built-In Microwave with Inverter Technology, 1.2 cu. ft. , Stainless",Home -> Kitchen & Dining,885170282919,885170282919,3,3,12,Untested Customer Returns,2026-08-24T11:30:38Z
NN-TK621SS,Panasonic,"Panasonic Optional 27"" Trim Kit for 1.2 cuft Microwaves, Stainless Steel, NN-TK621SS",Home -> Kitchen & Dining,885170064348,885170064348,1,1,1,Used,2026-08-24T11:30:38Z
NN-TK732SS,Panasonic,"Panasonic 30"" Trim Kit for 1.6 cuft Panasonic Stainless Microwave Ovens, NN-TK732SS",Home -> Kitchen & Dining,885170073081,885170073081,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
NSG6DG8700SRAA,Samsung,Samsung NSG6DG8700SRAA Bespoke 6.0 Cu. Ft. Slide-In Gas Range with Smart Oven Camera - Stainless Steel,Home -> Appliances -> Major Appliances -> Ovens / Ranges,887276817422,887276817422,1,1,1,Used,2026-08-24T11:30:38Z
RS27T5200SR,Samsung,Samsung RS27T5200SR 27.4 Cu. Ft. Side-by-Side Refrigerator - Stainless steel,Home -> Appliances -> Major Appliances -> Refrigerators,887276372211,887276372211,1,1,1,Used,2026-08-24T11:30:38Z
SHP65DC5N,Bosch,"Bosch SHP65DC5N 500 Series Top Control Dishwasher with AutoAir and TimeLight, 44dBA",Home -> Appliances -> Major Appliances -> Dishwashers,825225982036,825225982036,1,1,1,Used,2026-08-24T11:30:38Z
SHX78DC5N,Bosch,"Bosch SHX78DC5N 800 Series Top Control Dishwasher with CrystalDry and TimeLight, 42dBA",Home -> Appliances -> Major Appliances -> Dishwashers,825225982043,825225982043,1,1,1,Used,2026-08-24T11:30:38Z
SKM427F9HS,Sharp Electronics,Sharp Electronics SKM427F9HS Almo Built-In Trim Kit for 2.2 cu. ft. 1200W Stainless Steel Countertop Microwave Oven,Home -> Appliances -> Accessories,074000621916,074000621916,1,1,2,Used,2026-08-24T11:30:38Z
SKM430F9HS,SHARP,"Sharp SKM430F9HS Built-In Trim Kit 30"" for SMC226X series",Home -> Appliances -> Accessories,074000621923,074000621923,2,2,3,Untested Customer Returns;Used,2026-08-24T11:30:38Z
"Upgraded Retractable Garden Hose Reel, 1/2 in x 150FT Heavy Duty Automatic Hose Reel",PHLEX PRO,"PHLEX PRO Upgraded Retractable Garden Hose Reel, 1/2 in x 150FT Heavy Duty Automatic Hose Reel - White and Gray",Patio & Garden -> Gardening & Lawn Care -> Accessories,762292137863,762292137863,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
WA55A7300AE/US,Samsung Appliances,5.5 CF Smart Top Load Washer,Home -> Appliances -> Major Appliances -> Laundry,887276751221,887276751221,1,1,1,Used,2026-08-24T11:30:38Z
WA55CG7500AE,Samsung,"Samsung 5.5 Cu. Ft. High-Efficiency Smart Top Load Washer with Auto Dispense System, Super Speed Wash, Active WaterJet, Deep Fill, Ivory, WA55CG7500AE",Home -> Appliances -> Major Appliances -> Laundry,887276760391,887276760391,1,1,1,Used,2026-08-24T11:30:38Z
WD200CV,LG,"LG Sidekick 1.0 cu. ft. Pedestal Washer in Graphite Steel WD200CV;WD200CV 29"" SideKick Pedestal Washer with 1 cu.",Home -> Appliances -> Major Appliances -> Laundry;Unsorted,048231015189;4883400691766,048231015189;4883400691766,2,2,2,Used,2026-08-24T11:30:38Z
WD300CB,LG,LG WD300CB 27 in. W 1 cu. ft. Pedestal Front Load Washer Slim DD Motor in Black Steel,Home -> Appliances -> Major Appliances -> Laundry,195174038291,195174038291,1,1,1,Used,2026-08-24T11:30:38Z
WD90F53AVBUS,Samsung,"Samsung WD90F53AVBUS 27 Inch Bespoke All-in-One AI Laundry Washer and Dryer Combo with 5.3 Cu. Ft. Capacity, Vented, Auto Open Door, Easy Lint Removal",Home -> Appliances -> Major Appliances -> Laundry,887276989174,887276989174,1,1,2,Used,2026-08-24T11:30:38Z
WDP540HAMZ,WHIRLPOOL,"Whirlpool WDP540HAMZ 24"" Top Control Built-In Dishwasher with Boost Cycle and 55 dBa - Stainless steel",Home -> Appliances -> Major Appliances -> Dishwashers,883049627045,883049627045,1,1,2,Used,2026-08-24T11:30:38Z
WDP6W,LG,"LG 27 in. Laundry Pedestal with Storage Drawer, Elevated Base for Front Load Washers and Dryers, White, WDP6W",Home -> Appliances -> Accessories,195174038284,195174038284,1,1,1,Used,2026-08-24T11:30:38Z
WDT730HAMZ,WHIRLPOOL,WHIRLPOOL WDT730HAMZ 5 CYC 5 OPT FULLY INTEG CONS,Health & Beauty -> Makeup,883049622002,883049622002,1,1,1,Used,2026-08-24T11:30:38Z
WDT750SAKZ,WHIRLPOOL,"Whirlpool WDT750SAKZ 47-Decibel Top Control 24"" Built-In Dishwasher - Fingerprint-Resistant Metallic Steel",Home -> Appliances -> Major Appliances -> Dishwashers,883049540788,883049540788,1,1,3,Used,2026-08-24T11:30:38Z
WDTA50SAKZ,WHIRLPOOL,Whirlpool WDTA50SAKZ 47-Decibel Top Control 24-in Built-In Dishwasher (Fingerprint-Resistant Stainless Steel) ENERGY STAR,Home -> Appliances -> Major Appliances -> Dishwashers,883049540696,883049540696,1,1,1,Used,2026-08-24T11:30:38Z
WE702NZ/US,Samsung Electronics,"Samsung Bespoke AI Laundry Pedestal with Storage Drawer, Dark Steel, WE702NZ/US",Home -> Appliances -> Accessories,887276894676,887276894676,1,1,1,Like New,2026-08-24T11:30:38Z
WED5100HC,WHIRLPOOL,Whirlpool - 7.4 Cu. Ft. Electric Dryer with AccuDry Sensor Drying Technology - Chrome shadow,Home -> Kitchen & Dining,883049462738,883049462738,1,1,1,Used,2026-08-24T11:30:38Z
WGD8127LW,WHIRLPOOL,"Whirlpool WGD8127LW 27"" Wide 7.4 Cu. Ft. Energy Star Certified Gas Dryer White Laundry Appliances Dryers Gas Dryers",Home -> Appliances -> Major Appliances -> Laundry,883049606422,883049606422,1,1,1,Used,2026-08-24T11:30:38Z
WHLFP817MC2,Crossover,Crossover WHLFP817MC2 Laundry|Commercial Washer,Home -> Appliances -> Major Appliances -> Laundry,856013006535,856013006535,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
WKEX200HGA,LG ELECTRONICS APPLIANCE,"LG WashTower Stacked Laundry Center, 4.5 Cu. Ft. Front Load Washer with TurboWash 360 and Steam, 7.4 Cu. Ft. Electric Dryer with TurboSteam, Nature Green, WKEX200HGA",Home -> Appliances -> Major Appliances -> Laundry,195174042687,195174042687,1,1,1,Used,2026-08-24T11:30:38Z
WKEX200HWA,LG,LG WKEX200HWA 4.5 Cu.Ft. HE Smart Front-Load Washer and 7.4 Cu.Ft. Electric Dryer - White,Home -> Appliances -> Major Appliances -> Laundry,048231028462,048231028462,1,1,1,Used,2026-08-24T11:30:38Z
WKEX300HBA,LG,"LG WKEX300HBA 5.0 Cu. Ft. HE Smart Front Load Washer and 7.4 Cu. Ft. Electric Dryer WashTower with Steam and Center Control , Black Steel",Home -> Appliances -> Major Appliances -> Laundry,195174048481,195174048481,1,1,1,Used,2026-08-24T11:30:38Z
WM6998HBA,LG,LG WM6998HBA 5.0 Cu. Ft. HE Smart Mega Capacity All-in-One Electric Washer/Dryer WashCombo - Black Steel,Home -> Appliances -> Major Appliances -> Laundry,195174070161,195174070161,1,1,1,Used,2026-08-24T11:30:38Z
WM8980HVA,LG Electronics,"LG LG Electronics WM8980HVA Mega Capacity Front Load Washer with TurboWash, Built-In Intelligence, ColdWash, Allergiene Cycle, Graphite Steel, 5.2 cu. ft.,",Home -> Appliances -> Major Appliances -> Laundry,195174024867,195174024867,1,1,2,Used,2026-08-24T11:30:38Z
WT7000CW,LG ELECTRONICS APPLIANCE,LG ELECTRONICS APPLIANCE WT7000CW 4.5 CU.FT. ULTRA LARGE CAPACITY TOP LOAD WASHER WHITE,Home -> Appliances -> Major Appliances -> Laundry,048231028479,048231028479,1,1,1,Used,2026-08-24T11:30:38Z
WTW5105HW,WHIRLPOOL,"Whirlpool WTW5105HW Top Load Washing Machine with Built-in Water Faucet and Stain Brush, White, 4.7 cu. ft.",Home -> Appliances -> Major Appliances -> Laundry,883049516608,883049516608,1,1,1,Used,2026-08-24T11:30:38Z
