id,candidate,sku,source_url,source_cycles,source_restocks,source_depletions,cycles_per_30d,coverage,regional_gap,market_query,sold_search_url,exact_identity,market_current_stock,market_est_sold_qty,market_competitors,market_condition,estimated_cm_pct,verification_minutes,verdict,notes
11,Kith Kids Long Sleeve LAX Tee - Light Heather Grey / XL,2000355611,https://kith.com/products/khk031353-002?variant=45142921019520,0,1,1,0.0,1.0,0,Kith Kids Long Sleeve LAX Tee,https://www.ebay.co.uk/sch/i.html?_nkw=Kith+Kids+Long+Sleeve+LAX+Tee&LH_Sold=1&LH_Complete=1,,,,,,,,,
12,Linen Blend Riviera Vest - Black / Black / S,W2854P012,https://www.aloyoga.com/products/w2854p-linen-blend-riviera-vest-black?variant=50662103548263,0,1,1,0.0,1.0,0,Alo Yoga Linen Blend Riviera Vest,https://www.ebay.co.uk/sch/i.html?_nkw=Alo+Yoga+Linen+Blend+Riviera+Vest&LH_Sold=1&LH_Complete=1,,,,,,,,,
13,Linen Jersey Coastal Short Sleeve Polo - Gravel / Gravel / L,M1286P054384,https://www.aloyoga.com/products/m1286p-linen-jersey-coastal-short-sleeve-polo-gravel?variant=50662080184679,0,1,1,0.0,1.0,0,Alo Yoga Linen Jersey Coastal Short Sleeve,https://www.ebay.co.uk/sch/i.html?_nkw=Alo+Yoga+Linen+Jersey+Coastal+Short+Sleeve&LH_Sold=1&LH_Complete=1,,,,,,,,,
14,Men's Weekend Classic - Dusk/Selene / Dusk/Selene / 12,SHW1DUM12,https://www.vessi.com/products/mens-weekend-classic-dusk-selene?variant=42108314779733,0,1,1,0.0,1.0,0,Vessi Footwear Men s Weekend Classic,https://www.ebay.co.uk/sch/i.html?_nkw=Vessi+Footwear+Men+s+Weekend+Classic&LH_Sold=1&LH_Complete=1,,,,,,,,,
15,Silk Blend Low-Rise Radiance Long Skirt - Black / Black / S,W6636P012,https://www.aloyoga.com/products/w6636p-silk-blend-low-rise-radiance-long-skirt-black?variant=50662139920743,0,1,1,0.0,1.0,0,Alo Yoga Silk Blend Low-Rise Radiance Long,https://www.ebay.co.uk/sch/i.html?_nkw=Alo+Yoga+Silk+Blend+Low-Rise+Radiance+Long&LH_Sold=1&LH_Complete=1,,,,,,,,,
16,Street Essential Tee - Dune Grass / Dune Grass / 2XL,M1258R079476,https://www.aloyoga.com/products/m1258r-street-essential-tee-dune-grass?variant=50662075072871,0,1,1,0.0,1.0,0,Alo Yoga Street Essential Tee,https://www.ebay.co.uk/sch/i.html?_nkw=Alo+Yoga+Street+Essential+Tee&LH_Sold=1&LH_Complete=1,,,,,,,,,
17,The Democratic Foundation Pant in Organic Smoked Olive / 35 / 32,2407DFPOSO3532,https://www.taylorstitch.com/products/democratic-foundation-pant-in-organic-smoked-olive-2407?variant=40406355804237,0,1,1,0.0,1.0,0,Taylor Stitch The Democratic Foundation Pant in,https://www.ebay.co.uk/sch/i.html?_nkw=Taylor+Stitch+The+Democratic+Foundation+Pant+in&LH_Sold=1&LH_Complete=1,,,,,,,,,
18,The Quencher H2.O FlowState™ Tumbler | 20 OZ - Stanley Create / Purple Dust,100000110306c,https://www.stanley1913.com/products/the-quencher-h2-o-flowstate™-tumbler-20-oz-stanley-create?variant=53973797994856,0,1,1,0.0,1.0,0,Stanley The Quencher H2 O FlowState Tumbler,https://www.ebay.co.uk/sch/i.html?_nkw=Stanley+The+Quencher+H2+O+FlowState+Tumbler&LH_Sold=1&LH_Complete=1,,,,,,,,,
19,The Quencher ProTour Flip Straw Tumbler | 20 OZ - Stanley Create / Peach Rose,100000110701c,https://www.stanley1913.com/products/the-quencher-protour-flip-straw-tumbler-20-oz-stanley-create?variant=53973689368936,0,1,1,0.0,1.0,0,Stanley 1913 The Quencher ProTour Flip Straw,https://www.ebay.co.uk/sch/i.html?_nkw=Stanley+1913+The+Quencher+ProTour+Flip+Straw&LH_Sold=1&LH_Complete=1,,,,,,,,,
20,Men's Cruiser Terralux™ - Anthracite (Dark Gum Sole) / UK 10,A12400M110,https://www.allbirds.co.uk/products/mens-cruiser-terralux-anthracite?variant=55235811574136,0,1,0,0.0,1.0,1,Allbirds Men s Cruiser Terralux,https://www.ebay.co.uk/sch/i.html?_nkw=Allbirds+Men+s+Cruiser+Terralux&LH_Sold=1&LH_Complete=1,,,,,,,,,
